Glottocode,LanguageName,Phoneme,affiliation
apro1235,AIZI,n,Niger-Congo
apro1235,AIZI,ɲ,Niger-Congo
apro1235,AIZI,ŋ,Niger-Congo
apro1235,AIZI,o,Niger-Congo
apro1235,AIZI,p,Niger-Congo
apro1235,AIZI,s,Niger-Congo
apro1235,AIZI,ʃ,Niger-Congo
apro1235,AIZI,t,Niger-Congo
apro1235,AIZI,u,Niger-Congo
apro1235,AIZI,ɯ̞,Niger-Congo
apro1235,AIZI,v,Niger-Congo
apro1235,AIZI,ʌ,Niger-Congo
apro1235,AIZI,w,Niger-Congo
apro1235,AIZI,z,Niger-Congo
apro1235,AIZI,ʒ,Niger-Congo
ahte1237,AHTNA,a,Eyak-Athabaskan
ahte1237,AHTNA,b,Eyak-Athabaskan
ahte1237,AHTNA,d,Eyak-Athabaskan
ahte1237,AHTNA,dɮ,Eyak-Athabaskan
ahte1237,AHTNA,dz,Eyak-Athabaskan
ahte1237,AHTNA,e̞,Eyak-Athabaskan
ahte1237,AHTNA,ɡ,Eyak-Athabaskan
ahte1237,AHTNA,ɢ,Eyak-Athabaskan
ahte1237,AHTNA,h,Eyak-Athabaskan
ahte1237,AHTNA,i,Eyak-Athabaskan
ahte1237,AHTNA,j,Eyak-Athabaskan
ahte1237,AHTNA,j̥,Eyak-Athabaskan
ahte1237,AHTNA,kʰ,Eyak-Athabaskan
ahte1237,AHTNA,kʼ,Eyak-Athabaskan
ahte1237,AHTNA,ɬ,Eyak-Athabaskan
ahte1237,AHTNA,ɮ,Eyak-Athabaskan
ahte1237,AHTNA,m,Eyak-Athabaskan
ahte1237,AHTNA,n,Eyak-Athabaskan
ahte1237,AHTNA,ŋ,Eyak-Athabaskan
ahte1237,AHTNA,o̞,Eyak-Athabaskan
ahte1237,AHTNA,qʰ,Eyak-Athabaskan
ahte1237,AHTNA,qʼ,Eyak-Athabaskan
ahte1237,AHTNA,ʁ,Eyak-Athabaskan
ahte1237,AHTNA,s,Eyak-Athabaskan
ahte1237,AHTNA,tʰ,Eyak-Athabaskan
ahte1237,AHTNA,tɬʰ,Eyak-Athabaskan
ahte1237,AHTNA,tɬʼ,Eyak-Athabaskan
ahte1237,AHTNA,tsʰ,Eyak-Athabaskan
ahte1237,AHTNA,tsʼ,Eyak-Athabaskan
ahte1237,AHTNA,tʼ,Eyak-Athabaskan
ahte1237,AHTNA,u,Eyak-Athabaskan
ahte1237,AHTNA,ʍ,Eyak-Athabaskan
ahte1237,AHTNA,z,Eyak-Athabaskan
ahte1237,AHTNA,ʔ,Eyak-Athabaskan
ahte1237,AHTNA,χ,Eyak-Athabaskan
ainu1240,AINU,a,Language isolate
ainu1240,AINU,ɛ,Language isolate
ainu1240,AINU,h,Language isolate
ainu1240,AINU,i,Language isolate
ainu1240,AINU,j,Language isolate
ainu1240,AINU,k,Language isolate
ainu1240,AINU,m,Language isolate
ainu1240,AINU,n,Language isolate
ainu1240,AINU,ɔ,Language isolate
ainu1240,AINU,p,Language isolate
ainu1240,AINU,ɾ,Language isolate
ainu1240,AINU,s,Language isolate
ainu1240,AINU,t,Language isolate
ainu1240,AINU,t̠ʃ,Language isolate
ainu1240,AINU,u,Language isolate
ainu1240,AINU,w,Language isolate
akan1250,AKAN,a,Niger-Congo
akan1250,AKAN,ã,Niger-Congo
akan1250,AKAN,b,Niger-Congo
akan1250,AKAN,cç,Niger-Congo
akan1250,AKAN,cçʷ,Niger-Congo
akan1250,AKAN,çʷ,Niger-Congo
akan1250,AKAN,d,Niger-Congo
akan1250,AKAN,e,Niger-Congo
akan1250,AKAN,ɛ,Niger-Congo
akan1250,AKAN,f,Niger-Congo
akan1250,AKAN,ɡ,Niger-Congo
akan1250,AKAN,h,Niger-Congo
akan1250,AKAN,i,Niger-Congo
akan1250,AKAN,ĩ,Niger-Congo
akan1250,AKAN,ɪ,Niger-Congo
akan1250,AKAN,ɪ̃,Niger-Congo
akan1250,AKAN,j,Niger-Congo
akan1250,AKAN,ɟʝ,Niger-Congo
akan1250,AKAN,ɟʝʷ,Niger-Congo
akan1250,AKAN,kʰ,Niger-Congo
akan1250,AKAN,m,Niger-Congo
akan1250,AKAN,n,Niger-Congo
akan1250,AKAN,ɲ,Niger-Congo
akan1250,AKAN,ɲʷ,Niger-Congo
akan1250,AKAN,o,Niger-Congo
akan1250,AKAN,ɔ,Niger-Congo
akan1250,AKAN,pʰ,Niger-Congo
akan1250,AKAN,r,Niger-Congo
akan1250,AKAN,s,Niger-Congo
akan1250,AKAN,tʰ,Niger-Congo
akan1250,AKAN,u,Niger-Congo
akan1250,AKAN,ũ,Niger-Congo
akan1250,AKAN,ɥ,Niger-Congo
akan1250,AKAN,ʊ,Niger-Congo
akan1250,AKAN,ʊ̃,Niger-Congo
akaw1239,AKAWAIO,a,Cariban
akaw1239,AKAWAIO,ai,Cariban
akaw1239,AKAWAIO,au,Cariban
akaw1239,AKAWAIO,b,Cariban
akaw1239,AKAWAIO,d̪|d,Cariban
akaw1239,AKAWAIO,e̞,Cariban
akaw1239,AKAWAIO,ə,Cariban
akaw1239,AKAWAIO,ɡ,Cariban
akaw1239,AKAWAIO,i,Cariban
akaw1239,AKAWAIO,ɨ,Cariban
akaw1239,AKAWAIO,j,Cariban
akaw1239,AKAWAIO,k,Cariban
akaw1239,AKAWAIO,m,Cariban
akaw1239,AKAWAIO,n̪|n,Cariban
akaw1239,AKAWAIO,o̞,Cariban
akaw1239,AKAWAIO,ɔi,Cariban
